INSERT INTO TRANSACTION VALUES ('T00001', 'M1416', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 49.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11277', 'M1349', TO_DATE('24-Jun-2019', 'DD/MM/YYYY'), 151.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11278', 'M1024', TO_DATE('24-Jun-2019', 'DD/MM/YYYY'), 71.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11279', 'M0533', TO_DATE('24-Jun-2019', 'DD/MM/YYYY'), 15.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11280', 'M1414', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 36.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11281', 'M1453', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 168.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11282', 'M1124', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 63.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11283', 'M1066', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 50.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11284', 'M0519', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 43.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11285', 'M0945', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 69.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11286', 'M0832', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 43.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11287', 'M0457', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 69.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11288', 'M0048', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 26.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11289', 'M0693', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 70.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11290', 'M0647', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 71.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11291', 'M0783', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 186.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11292', 'M1452', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 61.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11293', 'M1077', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 105.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11294', 'M0090', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 21.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11295', 'M0093', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 106.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11296', 'M1054', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 73.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11297', 'M1168', TO_DATE('25-Jun-2019', 'DD/MM/YYYY'), 33.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11298', 'M0987', TO_DATE('26-Jun-2019', 'DD/MM/YYYY'), 36.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11299', 'M1308', TO_DATE('26-Jun-2019', 'DD/MM/YYYY'), 144.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11300', 'M0643', TO_DATE('27-Jun-2019', 'DD/MM/YYYY'), 47.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11301', 'M1073', TO_DATE('27-Jun-2019', 'DD/MM/YYYY'), 21.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11302', 'M0229', TO_DATE('27-Jun-2019', 'DD/MM/YYYY'), 139.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11303', 'M1249', TO_DATE('27-Jun-2019', 'DD/MM/YYYY'), 34.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11304', 'M0579', TO_DATE('27-Jun-2019', 'DD/MM/YYYY'), 131.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11305', 'M0349', TO_DATE('28-Jun-2019', 'DD/MM/YYYY'), 11.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11306', 'M1168', TO_DATE('29-Jun-2019', 'DD/MM/YYYY'), 10.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11307', 'M1489', TO_DATE('29-Jun-2019', 'DD/MM/YYYY'), 83.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11308', 'M0983', TO_DATE('29-Jun-2019', 'DD/MM/YYYY'), 48.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11309', 'M1105', TO_DATE('29-Jun-2019', 'DD/MM/YYYY'), 52.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11310', 'M0800', TO_DATE('29-Jun-2019', 'DD/MM/YYYY'), 21.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11311', 'M0741', TO_DATE('30-Jun-2019', 'DD/MM/YYYY'), 47.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11312', 'M0435', TO_DATE('30-Jun-2019', 'DD/MM/YYYY'), 47.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11313', 'M1277', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 76.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11314', 'M0868', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 59.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11315', 'M0288', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 10.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11316', 'M1005', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 48.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11317', 'M1277', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 26.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11318', 'M1269', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 92.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11319', 'M0785', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 115.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11320', 'M0003', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 38.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11321', 'M0361', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 48.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11322', 'M0456', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 21.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11323', 'M0104', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 36.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11324', 'M1074', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 58.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11325', 'M1177', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 47.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11326', 'M0929', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 58.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11327', 'M1069', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 36.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11328', 'M1235', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 21.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11329', 'M0769', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 121.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11330', 'M1041', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 56.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11331', 'M0520', TO_DATE('01-Jul-2019', 'DD/MM/YYYY'), 45.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11332', 'M1143', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 27.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11333', 'M0182', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 146.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11334', 'M1277', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 55.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11335', 'M0492', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 21.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11336', 'M0486', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 23.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11337', 'M0283', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 32.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11338', 'M0831', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 18.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11339', 'M1256', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 10.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11340', 'M0620', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 29.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11341', 'M0381', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 80.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11342', 'M1000', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 32.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11343', 'M1138', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 16.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11344', 'M0891', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 96.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11345', 'M0998', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 48.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11346', 'M0355', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 62.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11347', 'M1116', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 68.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11348', 'M0539', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 29.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11349', 'M0516', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 87.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11350', 'M0093', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 87.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11351', 'M1322', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 58.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11352', 'M0081', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 59.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11353', 'M1476', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 11.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11354', 'M1188', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 46.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11355', 'M1252', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 40.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11356', 'M0877', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 103.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11357', 'M0317', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 81.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11358', 'M0518', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 82.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11359', 'M0275', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 34.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11360', 'M1346', TO_DATE('02-Jul-2019', 'DD/MM/YYYY'), 29.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11361', 'M0816', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 86.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11362', 'M1411', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 99.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11363', 'M1456', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 36.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11364', 'M0073', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 84.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11365', 'M1000', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 99.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11366', 'M0146', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 32.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11367', 'M0989', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 23.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11368', 'M0606', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 44.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11369', 'M1353', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 189.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11370', 'M0741', TO_DATE('03-Jul-2019', 'DD/MM/YYYY'), 73.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11371', 'M1483', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 64.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11372', 'M0791', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 72.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11373', 'M0915', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 62.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11374', 'M0252', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 71.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11375', 'M0815', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 73.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11376', 'M0247', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 23.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11377', 'M0392', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 47.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11378', 'M1003', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 36.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11379', 'M0252', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 24.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11380', 'M1359', TO_DATE('04-Jul-2019', 'DD/MM/YYYY'), 45.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11381', 'M0115', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 11.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11382', 'M1118', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 23.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11383', 'M0195', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 48.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11384', 'M1204', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 45.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11385', 'M1010', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 81.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11386', 'M0958', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 61.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11387', 'M1404', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 107.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11388', 'M0966', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 10.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11389', 'M1109', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 24.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11390', 'M0723', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 85.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11391', 'M0013', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 61.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11392', 'M1059', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 46.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11393', 'M0396', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 45.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11394', 'M0282', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 76.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11395', 'M0173', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 70.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11396', 'M0145', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 45.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11397', 'M0614', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 14.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11398', 'M0733', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 103.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11399', 'M0846', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 79.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11400', 'M0670', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 48.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11401', 'M0855', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 27.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11402', 'M1063', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 47.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11403', 'M0266', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 72.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11404', 'M1061', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 55.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11405', 'M0384', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 26.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11406', 'M1275', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 49.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11407', 'M0292', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 55.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11408', 'M0838', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 123.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11409', 'M0305', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 39.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11410', 'M0060', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 74.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11411', 'M0252', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 37.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11412', 'M0830', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 47.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11413', 'M0746', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 47.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11414', 'M0118', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 131.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11415', 'M1189', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 183.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11416', 'M0623', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 112.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11417', 'M0100', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 16.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11418', 'M0077', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 89.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11419', 'M0997', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 32.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11420', 'M0629', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 117.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11421', 'M0162', TO_DATE('05-Jul-2019', 'DD/MM/YYYY'), 87.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11422', 'M0491', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 70.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11423', 'M1121', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 109.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11424', 'M1326', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 152.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11425', 'M0811', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 66.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11426', 'M1475', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 108.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11427', 'M0252', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 118.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11428', 'M1222', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 75.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11429', 'M0076', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 36.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11430', 'M1052', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 60.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11431', 'M0592', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 47.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11432', 'M1216', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 59.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11433', 'M1379', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 37.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11434', 'M0440', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 86.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11435', 'M1486', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 61.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11436', 'M1041', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 44.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11437', 'M0963', TO_DATE('06-Jul-2019', 'DD/MM/YYYY'), 111.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11438', 'M0084', TO_DATE('07-Jul-2019', 'DD/MM/YYYY'), 68.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11439', 'M1184', TO_DATE('07-Jul-2019', 'DD/MM/YYYY'), 124.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11440', 'M1220', TO_DATE('07-Jul-2019', 'DD/MM/YYYY'), 81.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11441', 'M0497', TO_DATE('07-Jul-2019', 'DD/MM/YYYY'), 46.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11442', 'M0836', TO_DATE('07-Jul-2019', 'DD/MM/YYYY'), 38.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11443', 'M0405', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 46.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11444', 'M1178', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 27.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11445', 'M0946', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 47.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11446', 'M0975', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 45.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11447', 'M0026', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 18.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11448', 'M0340', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 65.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11449', 'M0963', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 49.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11450', 'M1063', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 23.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11451', 'M0839', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 143.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11452', 'M1403', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 21.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11453', 'M0173', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 10.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11454', 'M0770', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 58.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T11455', 'M1375', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 58.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T11456', 'M0904', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 10.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11457', 'M1116', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 18.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T11458', 'M0814', TO_DATE('08-Jul-2019', 'DD/MM/YYYY'), 55.9, 'Online Banking');
